"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Dpp3","DPP3_MOUSE","DPP3_MOUSE",7,4,15,"DPP3_MOUSE","Q99KK7","DPP3_MOUSE","DPP3_MOUSE",7,4,15,"DPP3_MOUSE","Q99KK7","DPP3"
"Dsp","DESP_MOUSE","DESP_MOUSE",0,5,2,"DESP_MOUSE","E9Q557","DESP_MOUSE","DESP_MOUSE",0,5,2,"DESP_MOUSE","E9Q557","DSP"
"Dstn","DEST_MOUSE","DEST_MOUSE",5,1,5,"DEST_MOUSE","Q9R0P5","DEST_MOUSE","DEST_MOUSE",5,1,5,"DEST_MOUSE","Q9R0P5","DSTN"
"Dusp6","DUS6_MOUSE","DUS6_MOUSE",1,0,1,"DUS6_MOUSE","Q9DBB1","DUS6_MOUSE","DUS6_MOUSE",1,0,1,"DUS6_MOUSE","Q9DBB1","DUSP6"
"Dusp7","DUS7_MOUSE","DUS7_MOUSE",1,0,1,"DUS7_MOUSE","Q91Z46","DUS7_MOUSE","DUS7_MOUSE",1,0,1,"DUS7_MOUSE","Q91Z46","DUSP7"
"Dync1h1","DYHC1_MOUSE","DYHC1_MOUSE",31,26,53,"DYHC1_MOUSE","Q9JHU4","DYHC1_MOUSE","DYHC1_MOUSE",31,26,53,"DYHC1_MOUSE","Q9JHU4","DYNC1H1"
"Dync1i2","DC1I2_MOUSE","DC1I2_MOUSE",3,2,5,"DC1I2_MOUSE","O88487","DC1I2_MOUSE","DC1I2_MOUSE",3,2,5,"DC1I2_MOUSE","O88487","DYNC1I2"
"Dynll1","DYL1_MOUSE","DYL1_MOUSE",1,0,2,"DYL1_MOUSE","P63168","DYL1_MOUSE","DYL1_MOUSE",1,0,2,"DYL1_MOUSE","P63168","DYNLL1"
"Ecpas","ECM29_MOUSE","ECM29_MOUSE",2,1,0,"ECM29_MOUSE","Q6PDI5","ECM29_MOUSE","ECM29_MOUSE",2,1,0,"ECM29_MOUSE","Q6PDI5","ECPAS"
"Eef1a1","EF1A1_MOUSE","EF1A1_MOUSE",22,18,27,"EF1A1_MOUSE","P10126","EF1A1_MOUSE","EF1A1_MOUSE",22,18,27,"EF1A1_MOUSE","P10126","EEF1A1"
"Eef1d","EF1D_MOUSE","EF1D_MOUSE",5,1,9,"EF1D_MOUSE","P57776","EF1D_MOUSE","EF1D_MOUSE",5,1,9,"EF1D_MOUSE","P57776","EEF1D"
"Eef1g","EF1G_MOUSE","EF1G_MOUSE",12,9,19,"EF1G_MOUSE","Q9D8N0","EF1G_MOUSE","EF1G_MOUSE",12,9,19,"EF1G_MOUSE","Q9D8N0","EEF1G"
"Eef2","EF2_MOUSE","EF2_MOUSE",29,30,35,"EF2_MOUSE","P58252","EF2_MOUSE","EF2_MOUSE",29,30,35,"EF2_MOUSE","P58252","EEF2"
"Efhd2","EFHD2_MOUSE","EFHD2_MOUSE",5,0,6,"EFHD2_MOUSE","Q9D8Y0","EFHD2_MOUSE","EFHD2_MOUSE",5,0,6,"EFHD2_MOUSE","Q9D8Y0","EFHD2"
"Eif2s1","IF2A_MOUSE","IF2A_MOUSE",4,2,6,"IF2A_MOUSE","Q6ZWX6","IF2A_MOUSE","IF2A_MOUSE",4,2,6,"IF2A_MOUSE","Q6ZWX6","EIF2S1"
"Eif2s2","IF2B_MOUSE","IF2B_MOUSE",4,1,5,"IF2B_MOUSE","Q99L45","IF2B_MOUSE","IF2B_MOUSE",4,1,5,"IF2B_MOUSE","Q99L45","EIF2S2"
"Eif2s3x","IF2G_MOUSE","IF2G_MOUSE",6,3,8,"IF2G_MOUSE","Q9Z0N1","IF2G_MOUSE","IF2G_MOUSE",6,3,8,"IF2G_MOUSE","Q9Z0N1","EIF2S3"
"Eif3a","EIF3A_MOUSE","EIF3A_MOUSE",7,3,10,"EIF3A_MOUSE","P23116","EIF3A_MOUSE","EIF3A_MOUSE",7,3,10,"EIF3A_MOUSE","P23116","EIF3A"
"Eif3b","EIF3B_MOUSE","EIF3B_MOUSE",5,4,16,"EIF3B_MOUSE","Q8JZQ9","EIF3B_MOUSE","EIF3B_MOUSE",5,4,16,"EIF3B_MOUSE","Q8JZQ9","EIF3B"
"Eif3c","EIF3C_MOUSE","EIF3C_MOUSE",4,5,7,"EIF3C_MOUSE","Q8R1B4","EIF3C_MOUSE","EIF3C_MOUSE",4,5,7,"EIF3C_MOUSE","Q8R1B4","EIF3C"
"Eif3d","EIF3D_MOUSE","EIF3D_MOUSE",2,1,4,"EIF3D_MOUSE","O70194","EIF3D_MOUSE","EIF3D_MOUSE",2,1,4,"EIF3D_MOUSE","O70194","EIF3D"
"Eif3e","EIF3E_MOUSE","EIF3E_MOUSE",9,3,9,"EIF3E_MOUSE","P60229","EIF3E_MOUSE","EIF3E_MOUSE",9,3,9,"EIF3E_MOUSE","P60229","EIF3E"
"Eif3f","EIF3F_MOUSE","EIF3F_MOUSE",4,0,6,"EIF3F_MOUSE","Q9DCH4","EIF3F_MOUSE","EIF3F_MOUSE",4,0,6,"EIF3F_MOUSE","Q9DCH4","EIF3F"
"Eif3g","EIF3G_MOUSE","EIF3G_MOUSE",1,0,4,"EIF3G_MOUSE","Q9Z1D1","EIF3G_MOUSE","EIF3G_MOUSE",1,0,4,"EIF3G_MOUSE","Q9Z1D1","EIF3G"
"Eif3j1","EI3JA_MOUSE","EI3JA_MOUSE",8,1,6,"EI3JA_MOUSE","Q3UGC7","EI3JA_MOUSE","EI3JA_MOUSE",8,1,6,"EI3JA_MOUSE","Q3UGC7","EIF3J"
"Eif3j2","EI3JB_MOUSE","EI3JB_MOUSE",8,1,6,"EI3JB_MOUSE","Q66JS6","EI3JB_MOUSE","EI3JB_MOUSE",8,1,6,"EI3JB_MOUSE","Q66JS6","EIF3J"
"Eif3k","EIF3K_MOUSE","EIF3K_MOUSE",2,0,4,"EIF3K_MOUSE","Q9DBZ5","EIF3K_MOUSE","EIF3K_MOUSE",2,0,4,"EIF3K_MOUSE","Q9DBZ5","EIF3K"
"Eif3l","EIF3L_MOUSE","EIF3L_MOUSE",4,2,11,"EIF3L_MOUSE","Q8QZY1","EIF3L_MOUSE","EIF3L_MOUSE",4,2,11,"EIF3L_MOUSE","Q8QZY1","EIF3L"
"Eif3m","EIF3M_MOUSE","EIF3M_MOUSE",3,2,9,"EIF3M_MOUSE","Q99JX4","EIF3M_MOUSE","EIF3M_MOUSE",3,2,9,"EIF3M_MOUSE","Q99JX4","EIF3M"
"Eif4a1","IF4A1_MOUSE","IF4A1_MOUSE",13,11,16,"IF4A1_MOUSE","P60843","IF4A1_MOUSE","IF4A1_MOUSE",13,11,16,"IF4A1_MOUSE","P60843","EIF4A1"
"Eif4a2","IF4A2_MOUSE","IF4A2_MOUSE",6,6,10,"IF4A2_MOUSE","P10630","IF4A2_MOUSE","IF4A2_MOUSE",6,6,10,"IF4A2_MOUSE","P10630","EIF4A2"
"Eif4g1","IF4G1_MOUSE","IF4G1_MOUSE",2,1,1,"IF4G1_MOUSE","Q6NZJ6","IF4G1_MOUSE","IF4G1_MOUSE",2,1,1,"IF4G1_MOUSE","Q6NZJ6","EIF4G1"
"Eif5","IF5_MOUSE","IF5_MOUSE",1,0,3,"IF5_MOUSE","P59325","IF5_MOUSE","IF5_MOUSE",1,0,3,"IF5_MOUSE","P59325","EIF5"
"Eif5a","IF5A1_MOUSE","IF5A1_MOUSE",6,1,7,"IF5A1_MOUSE","P63242","IF5A1_MOUSE","IF5A1_MOUSE",6,1,7,"IF5A1_MOUSE","P63242","EIF5A"
"Eif5b","IF2P_MOUSE","IF2P_MOUSE",1,0,1,"IF2P_MOUSE","Q05D44","IF2P_MOUSE","IF2P_MOUSE",1,0,1,"IF2P_MOUSE","Q05D44","EIF5B"
"Eloc","ELOC_MOUSE","ELOC_MOUSE",1,0,2,"ELOC_MOUSE","P83940","ELOC_MOUSE","ELOC_MOUSE",1,0,2,"ELOC_MOUSE","P83940","ELOC"
"Elp1","ELP1_MOUSE","ELP1_MOUSE",2,2,5,"ELP1_MOUSE","Q7TT37","ELP1_MOUSE","ELP1_MOUSE",2,2,5,"ELP1_MOUSE","Q7TT37","ELP1"
"Elp2","ELP2_MOUSE","ELP2_MOUSE",1,0,2,"ELP2_MOUSE","Q91WG4","ELP2_MOUSE","ELP2_MOUSE",1,0,2,"ELP2_MOUSE","Q91WG4","ELP2"
"Elp3","ELP3_MOUSE","ELP3_MOUSE",2,1,4,"ELP3_MOUSE","Q9CZX0","ELP3_MOUSE","ELP3_MOUSE",2,1,4,"ELP3_MOUSE","Q9CZX0","ELP3"
"Eno1","ENOA_MOUSE","ENOA_MOUSE",12,6,15,"ENOA_MOUSE","P17182","ENOA_MOUSE","ENOA_MOUSE",12,6,15,"ENOA_MOUSE","P17182","ENO1"
"Epb41l1","E41L1_MOUSE","E41L1_MOUSE",3,2,0,"E41L1_MOUSE","Q9Z2H5","E41L1_MOUSE","E41L1_MOUSE",3,2,0,"E41L1_MOUSE","Q9Z2H5","EPB41L1"
"Epb41l2","E41L2_MOUSE","E41L2_MOUSE",1,2,2,"E41L2_MOUSE","O70318","E41L2_MOUSE","E41L2_MOUSE",1,2,2,"E41L2_MOUSE","O70318","EPB41L2"
"Eps8l2","ES8L2_MOUSE","ES8L2_MOUSE",4,0,2,"ES8L2_MOUSE","Q99K30","ES8L2_MOUSE","ES8L2_MOUSE",4,0,2,"ES8L2_MOUSE","Q99K30","EPS8L2"
"Erp29","ERP29_MOUSE","ERP29_MOUSE",12,1,9,"ERP29_MOUSE","P57759","ERP29_MOUSE","ERP29_MOUSE",12,1,9,"ERP29_MOUSE","P57759","ERP29"
"Erp44","ERP44_MOUSE","ERP44_MOUSE",14,3,13,"ERP44_MOUSE","Q9D1Q6","ERP44_MOUSE","ERP44_MOUSE",14,3,13,"ERP44_MOUSE","Q9D1Q6","ERP44"
"Esd","ESTD_MOUSE","ESTD_MOUSE",2,0,5,"ESTD_MOUSE","Q9R0P3","ESTD_MOUSE","ESTD_MOUSE",2,0,5,"ESTD_MOUSE","Q9R0P3","ESD"
"Etf1","ERF1_MOUSE","ERF1_MOUSE",1,0,4,"ERF1_MOUSE","Q8BWY3","ERF1_MOUSE","ERF1_MOUSE",1,0,4,"ERF1_MOUSE","Q8BWY3","ETF1"
"Ezr","EZRI_MOUSE","EZRI_MOUSE",11,5,12,"EZRI_MOUSE","P26040","EZRI_MOUSE","EZRI_MOUSE",11,5,12,"EZRI_MOUSE","P26040","EZR"
"Fabp5","FABP5_MOUSE","FABP5_MOUSE",5,0,6,"FABP5_MOUSE","Q05816","FABP5_MOUSE","FABP5_MOUSE",5,0,6,"FABP5_MOUSE","Q05816","FABP5"
"Fam49b","FA49B_MOUSE","FA49B_MOUSE",1,0,1,"FA49B_MOUSE","Q921M7","FA49B_MOUSE","FA49B_MOUSE",1,0,1,"FA49B_MOUSE","Q921M7","CYRIB"
"Fasn","FAS_MOUSE","FAS_MOUSE",3,1,22,"FAS_MOUSE","P19096","FAS_MOUSE","FAS_MOUSE",3,1,22,"FAS_MOUSE","P19096","FASN"
"Fau","RS30_MOUSE","RS30_MOUSE",1,0,1,"RS30_MOUSE","P62862","RS30_MOUSE","RS30_MOUSE",1,0,1,"RS30_MOUSE","P62862","FAU"
"Fbln7","FBLN7_MOUSE","FBLN7_MOUSE",4,4,0,"FBLN7_MOUSE","Q501P1","FBLN7_MOUSE","FBLN7_MOUSE",4,4,0,"FBLN7_MOUSE","Q501P1","FBLN7"
"Fbn1","FBN1_MOUSE","FBN1_MOUSE",2,6,36,"FBN1_MOUSE","Q61554","FBN1_MOUSE","FBN1_MOUSE",2,6,36,"FBN1_MOUSE","Q61554","FBN1"
"Fbxw8","FBXW8_MOUSE","FBXW8_MOUSE",1,0,1,"FBXW8_MOUSE","Q8BIA4","FBXW8_MOUSE","FBXW8_MOUSE",1,0,1,"FBXW8_MOUSE","Q8BIA4","FBXW8"
"Fermt2","FERM2_MOUSE","FERM2_MOUSE",10,6,14,"FERM2_MOUSE","Q8CIB5","FERM2_MOUSE","FERM2_MOUSE",10,6,14,"FERM2_MOUSE","Q8CIB5","FERMT2"
"Fkbp2","FKBP2_MOUSE","FKBP2_MOUSE",4,0,3,"FKBP2_MOUSE","P45878","FKBP2_MOUSE","FKBP2_MOUSE",4,0,3,"FKBP2_MOUSE","P45878","FKBP2"
"Fkbp4","FKBP4_MOUSE","FKBP4_MOUSE",1,0,5,"FKBP4_MOUSE","P30416","FKBP4_MOUSE","FKBP4_MOUSE",1,0,5,"FKBP4_MOUSE","P30416","FKBP4"
"Flg2","FILA2_MOUSE","FILA2_MOUSE",2,1,0,"FILA2_MOUSE","Q2VIS4","FILA2_MOUSE","FILA2_MOUSE",2,1,0,"FILA2_MOUSE","Q2VIS4","FLG2"
"Flna","FLNA_MOUSE","FLNA_MOUSE",5,0,8,"FLNA_MOUSE","Q8BTM8","FLNA_MOUSE","FLNA_MOUSE",5,0,8,"FLNA_MOUSE","Q8BTM8","FLNA"
"Flnb","FLNB_MOUSE","FLNB_MOUSE",15,9,48,"FLNB_MOUSE","Q80X90","FLNB_MOUSE","FLNB_MOUSE",15,9,48,"FLNB_MOUSE","Q80X90","FLNB"
"Flt1","VGFR1_MOUSE","VGFR1_MOUSE",1,2,2,"VGFR1_MOUSE","P35969","VGFR1_MOUSE","VGFR1_MOUSE",1,2,2,"VGFR1_MOUSE","P35969","FLT1"
"Fnta","FNTA_MOUSE","FNTA_MOUSE",2,0,2,"FNTA_MOUSE","Q61239","FNTA_MOUSE","FNTA_MOUSE",2,0,2,"FNTA_MOUSE","Q61239","FNTA"
"Foxo4","FOXO4_MOUSE","FOXO4_MOUSE",7,0,8,"FOXO4_MOUSE","Q9WVH3","FOXO4_MOUSE","FOXO4_MOUSE",7,0,8,"FOXO4_MOUSE","Q9WVH3","FOXO4"
"Fscn1","FSCN1_MOUSE","FSCN1_MOUSE",8,3,13,"FSCN1_MOUSE","Q61553","FSCN1_MOUSE","FSCN1_MOUSE",8,3,13,"FSCN1_MOUSE","Q61553","FSCN1"
"Fth1","FRIH_MOUSE","FRIH_MOUSE",2,0,4,"FRIH_MOUSE","P09528","FRIH_MOUSE","FRIH_MOUSE",2,0,4,"FRIH_MOUSE","P09528","FTH1"
"Ftl1","FRIL1_MOUSE","FRIL1_MOUSE",4,0,7,"FRIL1_MOUSE","P29391","FRIL1_MOUSE","FRIL1_MOUSE",4,0,7,"FRIL1_MOUSE","P29391","FTL"
"Gale","GALE_MOUSE","GALE_MOUSE",3,0,10,"GALE_MOUSE","Q8R059","GALE_MOUSE","GALE_MOUSE",3,0,10,"GALE_MOUSE","Q8R059","GALE"
"Galk1","GALK1_MOUSE","GALK1_MOUSE",4,1,10,"GALK1_MOUSE","Q9R0N0","GALK1_MOUSE","GALK1_MOUSE",4,1,10,"GALK1_MOUSE","Q9R0N0","GALK1"
"Ganab","GANAB_MOUSE","GANAB_MOUSE",22,13,28,"GANAB_MOUSE","Q8BHN3","GANAB_MOUSE","GANAB_MOUSE",22,13,28,"GANAB_MOUSE","Q8BHN3","GANAB"
"Gapdh","G3P_MOUSE","G3P_MOUSE",16,11,21,"G3P_MOUSE","P16858","G3P_MOUSE","G3P_MOUSE",16,11,21,"G3P_MOUSE","P16858","GAPDH"
"Gdi1","GDIA_MOUSE","GDIA_MOUSE",4,0,8,"GDIA_MOUSE","P50396","GDIA_MOUSE","GDIA_MOUSE",4,0,8,"GDIA_MOUSE","P50396","GDI1"
"Gdi2","GDIB_MOUSE","GDIB_MOUSE",10,6,21,"GDIB_MOUSE","Q61598","GDIB_MOUSE","GDIB_MOUSE",10,6,21,"GDIB_MOUSE","Q61598","GDI2"
"Gfpt1","GFPT1_MOUSE","GFPT1_MOUSE",22,24,25,"GFPT1_MOUSE","P47856","GFPT1_MOUSE","GFPT1_MOUSE",22,24,25,"GFPT1_MOUSE","P47856","GFPT1"
"Git2","GIT2_MOUSE","GIT2_MOUSE",1,2,3,"GIT2_MOUSE","Q9JLQ2","GIT2_MOUSE","GIT2_MOUSE",1,2,3,"GIT2_MOUSE","Q9JLQ2","GIT2"
"Glrx3","GLRX3_MOUSE","GLRX3_MOUSE",3,0,7,"GLRX3_MOUSE","Q9CQM9","GLRX3_MOUSE","GLRX3_MOUSE",3,0,7,"GLRX3_MOUSE","Q9CQM9","GLRX3"
"Gmppa","GMPPA_MOUSE","GMPPA_MOUSE",2,0,3,"GMPPA_MOUSE","Q922H4","GMPPA_MOUSE","GMPPA_MOUSE",2,0,3,"GMPPA_MOUSE","Q922H4","GMPPA"
"Gmppb","GMPPB_MOUSE","GMPPB_MOUSE",8,5,11,"GMPPB_MOUSE","Q8BTZ7","GMPPB_MOUSE","GMPPB_MOUSE",8,5,11,"GMPPB_MOUSE","Q8BTZ7","GMPPB"
"Gnai2","GNAI2_MOUSE","GNAI2_MOUSE",3,3,9,"GNAI2_MOUSE","P08752","GNAI2_MOUSE","GNAI2_MOUSE",3,3,9,"GNAI2_MOUSE","P08752","GNAI2"
"Gnai3","GNAI3_MOUSE","GNAI3_MOUSE",5,2,6,"GNAI3_MOUSE","Q9DC51","GNAI3_MOUSE","GNAI3_MOUSE",5,2,6,"GNAI3_MOUSE","Q9DC51","GNAI3"
"Gnas","GNAS1_MOUSE","GNAS1_MOUSE",3,1,0,"GNAS1_MOUSE","Q6R0H7","GNAS1_MOUSE","GNAS1_MOUSE",3,1,0,"GNAS1_MOUSE","Q6R0H7","GNAS"
"Gnb1","GBB1_MOUSE","GBB1_MOUSE",6,0,7,"GBB1_MOUSE","P62874","GBB1_MOUSE","GBB1_MOUSE",6,0,7,"GBB1_MOUSE","P62874","GNB1"
"Gnb2","GBB2_MOUSE","GBB2_MOUSE",4,0,5,"GBB2_MOUSE","P62880","GBB2_MOUSE","GBB2_MOUSE",4,0,5,"GBB2_MOUSE","P62880","GNB2"
"Gnb4","GBB4_MOUSE","GBB4_MOUSE",5,0,7,"GBB4_MOUSE","P29387","GBB4_MOUSE","GBB4_MOUSE",5,0,7,"GBB4_MOUSE","P29387","GNB4"
"Gne","GLCNE_MOUSE","GLCNE_MOUSE",9,9,12,"GLCNE_MOUSE","Q91WG8","GLCNE_MOUSE","GLCNE_MOUSE",9,9,12,"GLCNE_MOUSE","Q91WG8","GNE"
"Gnpda1","GNPI1_MOUSE","GNPI1_MOUSE",2,0,2,"GNPI1_MOUSE","O88958","GNPI1_MOUSE","GNPI1_MOUSE",2,0,2,"GNPI1_MOUSE","O88958","GNPDA1"
"Got1","AATC_MOUSE","AATC_MOUSE",8,0,10,"AATC_MOUSE","P05201","AATC_MOUSE","AATC_MOUSE",8,0,10,"AATC_MOUSE","P05201","GOT1"
"Got2","AATM_MOUSE","AATM_MOUSE",1,0,8,"AATM_MOUSE","P05202","AATM_MOUSE","AATM_MOUSE",1,0,8,"AATM_MOUSE","P05202","GOT2"
"Gpx1","GPX1_MOUSE","GPX1_MOUSE",5,0,4,"GPX1_MOUSE","P11352","GPX1_MOUSE","GPX1_MOUSE",5,0,4,"GPX1_MOUSE","P11352","GPX1"
"Gpx4","GPX4_MOUSE","GPX4_MOUSE",1,0,2,"GPX41_MOUSE","O70325","GPX4_MOUSE","GPX4_MOUSE",1,0,2,"GPX41_MOUSE","O70325","GPX4"
"Gsn","GELS_MOUSE","GELS_MOUSE",21,19,26,"GELS_MOUSE","P13020","GELS_MOUSE","GELS_MOUSE",21,19,26,"GELS_MOUSE","P13020","GSN"
"Gspt1","ERF3A_MOUSE","ERF3A_MOUSE",1,1,0,"ERF3A_MOUSE","Q8R050","ERF3A_MOUSE","ERF3A_MOUSE",1,1,0,"ERF3A_MOUSE","Q8R050","GSPT1"
"Gstp1","GSTP1_MOUSE","GSTP1_MOUSE",3,0,4,"GSTP1_MOUSE","P19157","GSTP1_MOUSE","GSTP1_MOUSE",3,0,4,"GSTP1_MOUSE","P19157","GSTP1"
"H2ax","H2AX_MOUSE","H2AX_MOUSE",6,0,3,"H2AX_MOUSE","P27661","H2AX_MOUSE","H2AX_MOUSE",6,0,3,"H2AX_MOUSE","P27661","H2AX"
"H2bc14","H2B1M_MOUSE","H2B1M_MOUSE",3,0,3,"H2B1M_MOUSE","P10854","H2B1M_MOUSE","H2B1M_MOUSE",3,0,3,"H2B1M_MOUSE","P10854","H2BC5"
"Hadha","ECHA_MOUSE","ECHA_MOUSE",1,0,2,"ECHA_MOUSE","Q8BMS1","ECHA_MOUSE","ECHA_MOUSE",1,0,2,"ECHA_MOUSE","Q8BMS1","HADHA"
"Hbb-bh1","HBBZ_MOUSE","HBBZ_MOUSE",6,0,9,"HBBZ_MOUSE","P04444","HBBZ_MOUSE","HBBZ_MOUSE",6,0,9,"HBBZ_MOUSE","P04444","HBE1"
"Hbb-y","HBE_MOUSE","HBE_MOUSE",7,4,11,"HBE_MOUSE","P02104","HBE_MOUSE","HBE_MOUSE",7,4,11,"HBE_MOUSE","P02104","HBE1"
"Hdac6","HDAC6_MOUSE","HDAC6_MOUSE",0,1,4,"HDAC6_MOUSE","Q9Z2V5","HDAC6_MOUSE","HDAC6_MOUSE",0,1,4,"HDAC6_MOUSE","Q9Z2V5","HDAC6"
"Hdlbp","VIGLN_MOUSE","VIGLN_MOUSE",7,9,8,"VIGLN_MOUSE","Q8VDJ3","VIGLN_MOUSE","VIGLN_MOUSE",7,9,8,"VIGLN_MOUSE","Q8VDJ3","HDLBP"
"Hist1h2bb","H2B1B_MOUSE","H2B1B_MOUSE",3,0,3,"H2B1B_MOUSE","Q64475","H2B1B_MOUSE","H2B1B_MOUSE",3,0,3,"H2B1B_MOUSE","Q64475","HIST1H2BB"
"Hist1h2bc","H2B1C_MOUSE","H2B1C_MOUSE",3,0,3,"H2B1C_MOUSE","Q6ZWY9","H2B1C_MOUSE","H2B1C_MOUSE",3,0,3,"H2B1C_MOUSE","Q6ZWY9","HIST1H2BI"
"Hist1h2bf","H2B1F_MOUSE","H2B1F_MOUSE",3,0,3,"H2B1F_MOUSE","P10853","H2B1F_MOUSE","H2B1F_MOUSE",3,0,3,"H2B1F_MOUSE","P10853","HIST1H2BG"
"Hist1h2bk","H2B1K_MOUSE","H2B1K_MOUSE",3,0,3,"H2B1K_MOUSE","Q8CGP1","H2B1K_MOUSE","H2B1K_MOUSE",3,0,3,"H2B1K_MOUSE","Q8CGP1","HIST1H2BK"
"Hist1h2bp","H2B1P_MOUSE","H2B1P_MOUSE",3,0,3,"H2B1P_MOUSE","Q8CGP2","H2B1P_MOUSE","H2B1P_MOUSE",3,0,3,"H2B1P_MOUSE","Q8CGP2","H2BC15"
"Hist1h4a","H4_MOUSE","H4_MOUSE",4,1,6,"H4_MOUSE","P62806","H4_MOUSE","H4_MOUSE",4,1,6,"H4_MOUSE","P62806","HIST2H4B"
"Hist2h2bb","H2B2B_MOUSE","H2B2B_MOUSE",3,0,3,"H2B2B_MOUSE","Q64525","H2B2B_MOUSE","H2B2B_MOUSE",3,0,3,"H2B2B_MOUSE","Q64525","HIST2H2BF"
"Hmgn5","HMGN5_MOUSE","HMGN5_MOUSE",1,0,1,"HMGN5_MOUSE","Q9JL35","HMGN5_MOUSE","HMGN5_MOUSE",1,0,1,"HMGN5_MOUSE","Q9JL35","HMGN5"
"Hnrnpa3","ROA3_MOUSE","ROA3_MOUSE",1,0,1,"ROA3_MOUSE","Q8BG05","ROA3_MOUSE","ROA3_MOUSE",1,0,1,"ROA3_MOUSE","Q8BG05","HNRNPA3"
"Hnrnpk","HNRPK_MOUSE","HNRPK_MOUSE",1,0,5,"HNRPK_MOUSE","P61979","HNRPK_MOUSE","HNRPK_MOUSE",1,0,5,"HNRPK_MOUSE","P61979","HNRNPK"
"Hsp90aa1","HS90A_MOUSE","HS90A_MOUSE",36,35,36,"HS90A_MOUSE","P07901","HS90A_MOUSE","HS90A_MOUSE",36,35,36,"HS90A_MOUSE","P07901","HSP90AA1"
"Hsp90ab1","HS90B_MOUSE","HS90B_MOUSE",36,37,41,"HS90B_MOUSE","P11499","HS90B_MOUSE","HS90B_MOUSE",36,37,41,"HS90B_MOUSE","P11499","HSP90AB1"
"Hsp90b1","ENPL_MOUSE","ENPL_MOUSE",46,52,41,"ENPL_MOUSE","P08113","ENPL_MOUSE","ENPL_MOUSE",46,52,41,"ENPL_MOUSE","P08113","HSP90B1"
"Hspa1a","HS71A_MOUSE","HS71A_MOUSE",5,3,6,"HS71A_MOUSE","Q61696","HS71A_MOUSE","HS71A_MOUSE",5,3,6,"HS71A_MOUSE","Q61696","HSPA1A"
"Hspa1b","HS71B_MOUSE","HS71B_MOUSE",5,3,6,"HS71B_MOUSE","P17879","HS71B_MOUSE","HS71B_MOUSE",5,3,6,"HS71B_MOUSE","P17879","HSPA1B"
"Hspa4","HSP74_MOUSE","HSP74_MOUSE",14,13,22,"HSP74_MOUSE","Q61316","HSP74_MOUSE","HSP74_MOUSE",14,13,22,"HSP74_MOUSE","Q61316","HSPA4"
"Hspa5","BIP_MOUSE","BIP_MOUSE",51,39,36,"GRP78_MOUSE","P20029","BIP_MOUSE","BIP_MOUSE",51,39,36,"GRP78_MOUSE","P20029","HSPA5"
"Hspa8","HSP7C_MOUSE","HSP7C_MOUSE",30,32,33,"HSP7C_MOUSE","P63017","HSP7C_MOUSE","HSP7C_MOUSE",30,32,33,"HSP7C_MOUSE","P63017","HSPA8"
"Hspa9","GRP75_MOUSE","GRP75_MOUSE",1,1,1,"GRP75_MOUSE","P38647","GRP75_MOUSE","GRP75_MOUSE",1,1,1,"GRP75_MOUSE","P38647","HSPA9"
"Hspd1","CH60_MOUSE","CH60_MOUSE",11,2,13,"CH60_MOUSE","P63038","CH60_MOUSE","CH60_MOUSE",11,2,13,"CH60_MOUSE","P63038","HSPD1"
"Hspe1","CH10_MOUSE","CH10_MOUSE",2,0,2,"CH10_MOUSE","Q64433","CH10_MOUSE","CH10_MOUSE",2,0,2,"CH10_MOUSE","Q64433","HSPE1"
"Hsph1","HS105_MOUSE","HS105_MOUSE",3,4,17,"HS105_MOUSE","Q61699","HS105_MOUSE","HS105_MOUSE",3,4,17,"HS105_MOUSE","Q61699","HSPH1"
"Hyou1","HYOU1_MOUSE","HYOU1_MOUSE",32,37,30,"HYOU1_MOUSE","Q9JKR6","HYOU1_MOUSE","HYOU1_MOUSE",32,37,30,"HYOU1_MOUSE","Q9JKR6","HYOU1"
"Idh1","IDHC_MOUSE","IDHC_MOUSE",2,0,13,"IDHC_MOUSE","O88844","IDHC_MOUSE","IDHC_MOUSE",2,0,13,"IDHC_MOUSE","O88844","IDH1"
"Igf2bp1","IF2B1_MOUSE","IF2B1_MOUSE",2,1,3,"IF2B1_MOUSE","O88477","IF2B1_MOUSE","IF2B1_MOUSE",2,1,3,"IF2B1_MOUSE","O88477","IGF2BP1"
"Inf2","INF2_MOUSE","INF2_MOUSE",0,1,1,"INF2_MOUSE","Q0GNC1","INF2_MOUSE","INF2_MOUSE",0,1,1,"INF2_MOUSE","Q0GNC1","INF2"
"Ipo5","IPO5_MOUSE","IPO5_MOUSE",2,2,16,"IPO5_MOUSE","Q8BKC5","IPO5_MOUSE","IPO5_MOUSE",2,2,16,"IPO5_MOUSE","Q8BKC5","IPO5"
"Ipo9","IPO9_MOUSE","IPO9_MOUSE",3,1,5,"IPO9_MOUSE","Q91YE6","IPO9_MOUSE","IPO9_MOUSE",3,1,5,"IPO9_MOUSE","Q91YE6","IPO9"
