"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Actn4","ACTN4_MOUSE","ACTN4_MOUSE",7,8,16,"ACTN4_MOUSE","P57780","ACTN4_MOUSE","ACTN4_MOUSE",7,8,16,"ACTN4_MOUSE","P57780","ACTN4"
"Actr1a","ACTZ_MOUSE","ACTZ_MOUSE",2,0,6,"ACTZ_MOUSE","P61164","ACTZ_MOUSE","ACTZ_MOUSE",2,0,6,"ACTZ_MOUSE","P61164","ACTR1A"
"Actr2","ARP2_MOUSE","ARP2_MOUSE",6,0,10,"ARP2_MOUSE","P61161","ARP2_MOUSE","ARP2_MOUSE",6,0,10,"ARP2_MOUSE","P61161","ACTR2"
"Actr3","ARP3_MOUSE","ARP3_MOUSE",9,3,17,"ARP3_MOUSE","Q99JY9","ARP3_MOUSE","ARP3_MOUSE",9,3,17,"ARP3_MOUSE","Q99JY9","ACTR3"
"Ada","ADA_MOUSE","ADA_MOUSE",14,8,19,"ADA_MOUSE","P03958","ADA_MOUSE","ADA_MOUSE",14,8,19,"ADA_MOUSE","P03958","ADA"
"Adh5","ADHX_MOUSE","ADHX_MOUSE",4,0,7,"ADHX_MOUSE","P28474","ADHX_MOUSE","ADHX_MOUSE",4,0,7,"ADHX_MOUSE","P28474","ADH5"
"Ahsa1","AHSA1_MOUSE","AHSA1_MOUSE",2,0,4,"AHSA1_MOUSE","Q8BK64","AHSA1_MOUSE","AHSA1_MOUSE",2,0,4,"AHSA1_MOUSE","Q8BK64","AHSA1"
"Aimp1","AIMP1_MOUSE","AIMP1_MOUSE",3,0,5,"AIMP1_MOUSE","P31230","AIMP1_MOUSE","AIMP1_MOUSE",3,0,5,"AIMP1_MOUSE","P31230","AIMP1"
"Aimp2","AIMP2_MOUSE","AIMP2_MOUSE",5,2,5,"AIMP2_MOUSE","Q8R010","AIMP2_MOUSE","AIMP2_MOUSE",5,2,5,"AIMP2_MOUSE","Q8R010","AIMP2"
"Akr1a1","AK1A1_MOUSE","AK1A1_MOUSE",3,0,4,"AK1A1_MOUSE","Q9JII6","AK1A1_MOUSE","AK1A1_MOUSE",3,0,4,"AK1A1_MOUSE","Q9JII6","AKR1A1"
"Alad","HEM2_MOUSE","HEM2_MOUSE",8,1,10,"HEM2_MOUSE","P10518","HEM2_MOUSE","HEM2_MOUSE",8,1,10,"HEM2_MOUSE","P10518","ALAD"
"Alb","ALBU_MOUSE","ALBU_MOUSE",9,0,19,"ALBU_MOUSE","P07724","ALBU_MOUSE","ALBU_MOUSE",9,0,19,"ALBU_MOUSE","P07724","ALB"
