"Accession.Number","S3","S4","S5","P3","P4","P5"
"CYBP_MOUSE",0,0,0,0,0,5
"HS74L_MOUSE",0,0,0,0,0,5
"NUCL_MOUSE",0,0,0,0,0,4
"PPID_MOUSE",0,0,0,0,0,4
"YBOX1_MOUSE",0,0,0,0,0,4
"EIF3I_MOUSE",0,0,0,0,0,4
"PSB7_MOUSE",0,0,0,0,0,3
"FPPS_MOUSE",0,0,0,0,0,3
"MYDGF_MOUSE",0,0,0,0,0,3
"CSN5_MOUSE",0,0,0,0,0,3
"NUCB1_MOUSE",0,0,0,0,0,2
"PYGL_MOUSE",0,0,0,0,0,2
"COR1C_MOUSE",0,0,0,0,0,2
"HPRT_MOUSE",0,0,0,0,0,2
"DX39B_MOUSE",0,0,0,0,0,2
"CSN4_MOUSE",0,0,0,0,0,2
"RAB14_MOUSE",0,0,0,0,0,2
"KRT82_MOUSE",0,0,0,0,0,2
"SET_MOUSE",0,0,0,0,0,2
"PR2C2_MOUSE",0,0,0,0,0,1
"GSTM2_MOUSE",0,0,0,0,0,1
"CTNA1_MOUSE",0,0,0,0,0,1
"PURA2_MOUSE",0,0,0,0,0,1
"CYC_MOUSE",0,0,0,0,0,1
"TSN_MOUSE",0,0,0,0,0,1
"VATE1_MOUSE",0,0,0,0,0,1
"NPM_MOUSE",0,0,0,0,0,1
"SH3L3_MOUSE",0,0,0,0,0,1
"PSMD5_MOUSE",0,0,0,0,0,1
"PSMD9_MOUSE",0,0,0,0,0,1
"RS21_MOUSE",0,0,0,0,0,1
"ARHGH_MOUSE",0,0,0,0,0,1
"SEPT3_MOUSE",0,0,0,0,0,1
"RL39_MOUSE",0,0,0,0,0,1
"JUPI2_MOUSE",1,1,0,0,0,0
"CO3_MOUSE",1,0,0,0,0,0
"SODM_MOUSE",1,0,0,0,0,0
"CX6B1_MOUSE",0,1,0,0,0,0
"EIF1B_MOUSE",0,1,0,0,0,0
"K2C1_MOUSE",4,4,8,3,4,7
"TBA1B_MOUSE",1,0,1,16,17,19
"K1C42_MOUSE",0,4,0,2,6,6
"RL7A_MOUSE",0,1,0,4,1,7
"ANXA4_MOUSE",0,0,0,13,6,13
"CKAP4_MOUSE",0,0,0,9,10,13
"PLIN3_MOUSE",0,0,0,9,5,10
"RHOA_MOUSE",0,0,0,6,5,8
"F10A1_MOUSE",0,0,0,4,1,5
"LMAN1_MOUSE",0,0,0,3,2,6
"RL5_MOUSE",0,0,0,3,2,5
"DC1I2_MOUSE",0,0,0,3,2,5
"MLEC_MOUSE",0,0,0,3,1,4
"SURF4_MOUSE",0,0,0,3,1,3
"RS12_MOUSE",0,0,0,2,1,4
"GRP75_MOUSE",0,0,0,1,1,1
"ARL1_MOUSE",0,0,0,1,1,1
"ASSY_MOUSE",1,0,0,3,0,8
"RS10_MOUSE",0,3,0,3,0,5
"RS24_MOUSE",0,2,0,1,0,4
"RL38_MOUSE",0,2,0,1,0,3
"H2B1B_MOUSE",0,1,0,3,0,3
"RLA1_MOUSE",0,0,2,5,0,4
"FRIL1_MOUSE",0,0,0,4,0,7
"RS13_MOUSE",0,0,0,4,0,4
"ES8L2_MOUSE",0,0,0,4,0,2
"GLRX3_MOUSE",0,0,0,3,0,7
"KCY_MOUSE",0,0,0,2,0,4
"UFM1_MOUSE",0,0,0,1,0,3
"IF5_MOUSE",0,0,0,1,0,3
"PSME1_MOUSE",0,0,0,1,0,3
"DYL1_MOUSE",0,0,0,1,0,2
"HMGN5_MOUSE",0,0,0,1,0,1
"IF2P_MOUSE",0,0,0,1,0,1
"PA1B3_MOUSE",0,0,0,1,0,1
"DESP_MOUSE",0,0,0,0,5,2
"RL35A_MOUSE",0,1,0,0,0,1
"SKP1_MOUSE",0,0,0,3,0,0
"K2C6B_MOUSE",0,0,0,3,0,0
"CDD_MOUSE",0,0,0,2,0,0
"PRRC1_MOUSE",0,0,0,1,0,0
"VTNC_MOUSE",0,0,0,1,0,0
"UFD1_MOUSE",0,0,0,1,0,0
"TNPO2_MOUSE",0,0,0,1,0,0
"ZNT7_MOUSE",0,0,0,1,0,0
"RYR2_MOUSE",0,0,0,0,0,3
"P5CR3_MOUSE",0,0,0,0,0,2
"CBR1_MOUSE",0,0,0,0,0,2
"TMX1_MOUSE",0,0,0,0,0,2
"EMIL1_MOUSE",0,0,0,0,0,1
"ISG20_MOUSE",0,0,0,0,0,1
"FCL_MOUSE",0,0,0,0,0,1
"TOIP2_MOUSE",0,0,0,0,0,1
"GBG12_MOUSE",0,0,0,0,0,1
"ARHG1_MOUSE",0,0,0,0,0,1
"ZN276_MOUSE",0,0,0,0,0,1
"3BHS1_MOUSE",1,0,0,0,0,0
"THIOM_MOUSE",1,0,0,0,0,0
"VATG1_MOUSE",0,1,0,0,0,0
"EIF1_MOUSE",0,1,0,0,0,0
"TYB4_MOUSE",0,1,0,0,0,0
"APOC2_MOUSE",0,0,1,0,0,0
"ACTG_MOUSE",13,6,11,32,24,43
"ACTB_MOUSE",13,6,11,32,24,43
"K1C10_MOUSE",6,3,4,5,4,11
"HBA_MOUSE",4,3,5,16,5,20
"K2C5_MOUSE",4,4,0,3,7,5
"RL11_MOUSE",2,0,0,2,1,3
"PDIA6_MOUSE",1,0,0,23,12,21
"LEG9_MOUSE",1,0,0,7,2,6
"IF4A2_MOUSE",1,0,0,6,6,10
"RRBP1_MOUSE",1,0,0,6,4,7
"EI3JA_MOUSE",0,2,0,8,1,6
"RS27L_MOUSE",0,2,0,2,1,2
"H13_MOUSE",0,2,0,1,1,2
"CALM3_MOUSE",0,0,3,11,1,4
"CALM2_MOUSE",0,0,3,11,1,4
"CALM1_MOUSE",0,0,3,11,1,4
"IF4G1_MOUSE",0,0,1,2,1,1
"PDIA4_MOUSE",0,0,0,24,26,18
"RPN1_MOUSE",0,0,0,12,7,18
"OST48_MOUSE",0,0,0,10,6,11
"1433T_MOUSE",0,0,0,8,5,10
"SYLC_MOUSE",0,0,0,6,10,12
"SYSC_MOUSE",0,0,0,6,4,14
"MVP_MOUSE",0,0,0,5,6,20
"HS71A_MOUSE",0,0,0,5,3,6
"HS71B_MOUSE",0,0,0,5,3,6
"SYQ_MOUSE",0,0,0,5,2,8
"CAPG_MOUSE",0,0,0,5,2,7
"AIMP2_MOUSE",0,0,0,5,2,5
"EF1D_MOUSE",0,0,0,5,1,9
"AT2A2_MOUSE",0,0,0,4,5,6
"IF2B_MOUSE",0,0,0,4,1,5
"RL9_MOUSE",0,0,0,4,1,4
"HS105_MOUSE",0,0,0,3,4,17
"UBA5_MOUSE",0,0,0,3,4,4
"GNAI2_MOUSE",0,0,0,3,3,9
"4F2_MOUSE",0,0,0,3,3,4
"PSG22_MOUSE",0,0,0,3,2,3
"IPO9_MOUSE",0,0,0,3,1,5
"BZW1_MOUSE",0,0,0,3,1,3
"RS6_MOUSE",0,0,0,3,1,3
"K1C14_MOUSE",0,0,0,2,9,6
"CAZA1_MOUSE",0,0,0,2,2,9
"ELP1_MOUSE",0,0,0,2,2,5
"SRPRB_MOUSE",0,0,0,2,2,4
"RS5_MOUSE",0,0,0,2,2,4
"TBC15_MOUSE",0,0,0,2,2,1
"SEPT9_MOUSE",0,0,0,2,1,5
"RAC1_MOUSE",0,0,0,2,1,5
"EIF3D_MOUSE",0,0,0,2,1,4
"ADT1_MOUSE",0,0,0,2,1,4
"MPCP_MOUSE",0,0,0,2,1,4
"ELP3_MOUSE",0,0,0,2,1,4
"SSRD_MOUSE",0,0,0,2,1,3
"ABCF1_MOUSE",0,0,0,1,2,7
"RAB2A_MOUSE",0,0,0,1,2,3
"SYMC_MOUSE",0,0,0,1,2,3
"GIT2_MOUSE",0,0,0,1,2,3
"E41L2_MOUSE",0,0,0,1,2,2
"VGFR1_MOUSE",0,0,0,1,2,2
"MAGD1_MOUSE",0,0,0,1,2,1
"BAP31_MOUSE",0,0,0,1,1,3
"OBSL1_MOUSE",0,0,0,1,1,3
"DEGS1_MOUSE",0,0,0,1,1,2
"PLAC8_MOUSE",0,0,0,1,1,2
"PR2C5_MOUSE",0,0,0,1,1,1
"WNK1_MOUSE",0,0,0,1,1,1
"RL19_MOUSE",0,0,0,1,1,1
"MORC3_MOUSE",0,0,0,1,1,1
"K2C73_MOUSE",3,3,6,0,4,4
"K2C6A_MOUSE",4,4,0,3,0,4
"LEG3_MOUSE",1,4,0,5,0,6
"PTMA_MOUSE",1,1,0,1,0,1
"H2B1M_MOUSE",0,1,1,3,0,3
"H2B1C_MOUSE",0,1,1,3,0,3
"H2B2B_MOUSE",0,1,1,3,0,3
"VDAC1_MOUSE",2,0,0,2,0,9
"PCBP2_MOUSE",1,0,0,2,0,2
"THIKA_MOUSE",1,0,0,1,0,1
"RL27A_MOUSE",0,3,0,1,0,3
"RL14_MOUSE",0,2,0,2,0,3
"RL24_MOUSE",0,2,0,2,0,3
"TNR9_MOUSE",0,2,0,2,0,2
"TSP_MOUSE",0,2,0,1,0,2
"H2B1P_MOUSE",0,1,0,3,0,3
"H2B1K_MOUSE",0,1,0,3,0,3
"H2B1F_MOUSE",0,1,0,3,0,3
"H14_MOUSE",0,1,0,1,0,2
"RL37A_MOUSE",0,1,0,1,0,1
"RL31_MOUSE",0,1,0,1,0,1
"RS30_MOUSE",0,1,0,1,0,1
"RL26_MOUSE",0,1,0,1,0,1
"K2C75_MOUSE",0,0,6,3,6,0
"B3AT_MOUSE",0,0,0,9,6,0
"RHOC_MOUSE",0,0,0,6,0,8
"NP1L4_MOUSE",0,0,0,6,0,8
"GBB1_MOUSE",0,0,0,6,0,7
"PRS7_MOUSE",0,0,0,5,0,9
"FLNA_MOUSE",0,0,0,5,0,8
"GBB4_MOUSE",0,0,0,5,0,7
"RHG01_MOUSE",0,0,0,5,0,2
"ABCE1_MOUSE",0,0,0,5,0,2
"NUCB2_MOUSE",0,0,0,5,0,1
"PNPH_MOUSE",0,0,0,4,0,7
"VAPA_MOUSE",0,0,0,4,0,6
"NP1L1_MOUSE",0,0,0,4,0,6
"TMEDA_MOUSE",0,0,0,4,0,4
"UBXN1_MOUSE",0,0,0,3,1,0
"GNAS1_MOUSE",0,0,0,3,1,0
"AGM1_MOUSE",0,0,0,3,0,3
"OSBP1_MOUSE",0,0,0,3,0,3
"RALB_MOUSE",0,0,0,3,0,3
"SEP11_MOUSE",0,0,0,3,0,3
"ECM29_MOUSE",0,0,0,2,1,0
"SRP68_MOUSE",0,0,0,2,1,0
"NACA_MOUSE",0,0,0,2,1,0
"RAC3_MOUSE",0,0,0,2,1,0
"ARC1B_MOUSE",0,0,0,2,0,10
"PRDX6_MOUSE",0,0,0,2,0,8
"PRS10_MOUSE",0,0,0,2,0,7
"RL7_MOUSE",0,0,0,2,0,6
"SC22B_MOUSE",0,0,0,2,0,6
"ESTD_MOUSE",0,0,0,2,0,5
"STT3A_MOUSE",0,0,0,2,0,4
"RL13A_MOUSE",0,0,0,2,0,4
"SSRA_MOUSE",0,0,0,2,0,3
"GMPPA_MOUSE",0,0,0,2,0,3
"S61A1_MOUSE",0,0,0,2,0,2
"FNTA_MOUSE",0,0,0,2,0,2
"PCBP3_MOUSE",0,0,0,2,0,2
"BIN2_MOUSE",0,0,0,2,0,2
"DAD1_MOUSE",0,0,0,2,0,2
"MTAP_MOUSE",0,0,0,2,0,1
"UBFD1_MOUSE",0,0,0,2,0,1
"TKFC_MOUSE",0,0,0,2,0,1
"ABRAL_MOUSE",0,0,0,2,0,1
"LRRF1_MOUSE",0,0,0,1,1,0
"ERF3A_MOUSE",0,0,0,1,1,0
"RAB18_MOUSE",0,0,0,1,1,0
"AP1B1_MOUSE",0,0,0,1,1,0
"XPP1_MOUSE",0,0,0,1,0,5
"UBP14_MOUSE",0,0,0,1,0,5
"RL10A_MOUSE",0,0,0,1,0,5
"PA1B2_MOUSE",0,0,0,1,0,4
"RCN2_MOUSE",0,0,0,1,0,3
"CYB5_MOUSE",0,0,0,1,0,2
"ELOC_MOUSE",0,0,0,1,0,2
"ELP2_MOUSE",0,0,0,1,0,2
"RL22L_MOUSE",0,0,0,1,0,2
"PAIRB_MOUSE",0,0,0,1,0,2
"GPX4_MOUSE",0,0,0,1,0,2
"CUL7_MOUSE",0,0,0,1,0,2
"SGTA_MOUSE",0,0,0,1,0,2
"MCFD2_MOUSE",0,0,0,1,0,1
"UBQL1_MOUSE",0,0,0,1,0,1
"RS26_MOUSE",0,0,0,1,0,1
"SSRG_MOUSE",0,0,0,1,0,1
"SC61G_MOUSE",0,0,0,1,0,1
"STK24_MOUSE",0,0,0,1,0,1
"DUS6_MOUSE",0,0,0,1,0,1
"DUS7_MOUSE",0,0,0,1,0,1
"UCHL4_MOUSE",0,0,0,1,0,1
"RL28_MOUSE",0,0,0,1,0,1
"DYLT1_MOUSE",0,0,0,1,0,1
"SC11A_MOUSE",0,0,0,1,0,1
"ROA3_MOUSE",0,0,0,1,0,1
"PLCH1_MOUSE",0,0,0,1,0,1
"MAP4_MOUSE",0,0,0,1,0,1
"ACLY_MOUSE",0,0,0,0,3,13
"K2C79_MOUSE",0,0,0,0,3,1
"ASNS_MOUSE",0,0,0,0,2,9
"SRC8_MOUSE",0,0,0,0,2,2
"SEPT6_MOUSE",0,0,0,0,2,1
"HDAC6_MOUSE",0,0,0,0,1,4
"LYZ1_MOUSE",0,0,0,0,1,1
"BAX_MOUSE",0,0,0,0,1,1
"CCDC6_MOUSE",0,0,0,0,1,1
"ALG5_MOUSE",0,0,0,0,1,1
"WNK3_MOUSE",0,0,0,0,1,1
"OSTC_MOUSE",0,0,0,0,1,1
"INF2_MOUSE",0,0,0,0,1,1
"CMTR2_MOUSE",0,0,0,0,1,1
"K1C17_MOUSE",3,4,0,0,7,0
"COX5B_MOUSE",1,2,0,1,0,0
"H32_MOUSE",1,0,0,1,0,0
"MAGI1_MOUSE",1,0,0,0,1,0
"3BHS6_MOUSE",1,0,0,0,0,4
"SYNE2_MOUSE",1,0,0,0,0,2
"THIKB_MOUSE",1,0,0,0,0,1
"IF4H_MOUSE",0,2,0,1,0,0
"K1C16_MOUSE",0,2,0,0,2,0
"T22D1_MOUSE",0,1,0,1,0,0
"CDV3_MOUSE",0,1,0,0,0,2
"RL36_MOUSE",0,1,0,0,0,2
"RS28_MOUSE",0,1,0,0,0,1
"K1C28_MOUSE",0,0,2,0,0,2
"GORS2_MOUSE",0,0,0,4,0,0
"TLN2_MOUSE",0,0,0,4,0,0
"FAF2_MOUSE",0,0,0,3,0,0
"NXP20_MOUSE",0,0,0,3,0,0
"GNAS2_MOUSE",0,0,0,3,0,0
"SIR2_MOUSE",0,0,0,3,0,0
"VASP_MOUSE",0,0,0,3,0,0
"SYFA_MOUSE",0,0,0,3,0,0
"IMA3_MOUSE",0,0,0,2,0,0
"DC1L1_MOUSE",0,0,0,2,0,0
"RAB5A_MOUSE",0,0,0,2,0,0
"CHMP5_MOUSE",0,0,0,1,0,0
"RS15_MOUSE",0,0,0,1,0,0
"RL10L_MOUSE",0,0,0,1,0,0
"SNAB_MOUSE",0,0,0,1,0,0
"SDHA_MOUSE",0,0,0,1,0,0
"MAP1B_MOUSE",0,0,0,1,0,0
"THIL_MOUSE",0,0,0,1,0,0
"HSPB1_MOUSE",0,0,0,1,0,0
"CSN7A_MOUSE",0,0,0,1,0,0
"WFS1_MOUSE",0,0,0,1,0,0
"MP2K2_MOUSE",0,0,0,1,0,0
"UN45A_MOUSE",0,0,0,1,0,0
"VP37A_MOUSE",0,0,0,1,0,0
"DNA2_MOUSE",0,0,0,1,0,0
"ARBK2_MOUSE",0,0,0,1,0,0
"ARBK1_MOUSE",0,0,0,1,0,0
"VDAC3_MOUSE",0,0,0,1,0,0
"SLK_MOUSE",0,0,0,1,0,0
"FND3B_MOUSE",0,0,0,1,0,0
"PGBM_MOUSE",0,0,0,1,0,0
"NUP93_MOUSE",0,0,0,1,0,0
"FINC_MOUSE",0,0,0,1,0,0
"MMS19_MOUSE",0,0,0,1,0,0
"SIL1_MOUSE",0,0,0,1,0,0
"GNA13_MOUSE",0,0,0,1,0,0
"IFG15_MOUSE",0,0,0,1,0,0
"SQSTM_MOUSE",0,0,0,1,0,0
"ECHB_MOUSE",0,0,0,1,0,0
"ERF3B_MOUSE",0,0,0,1,0,0
"AL3B1_MOUSE",0,0,0,1,0,0
"AL3B3_MOUSE",0,0,0,1,0,0
"AL3B2_MOUSE",0,0,0,1,0,0
"BAG6_MOUSE",0,0,0,1,0,0
"DPM1_MOUSE",0,0,0,1,0,0
"TOM1_MOUSE",0,0,0,1,0,0
"TS101_MOUSE",0,0,0,1,0,0
"PP1G_MOUSE",0,0,0,1,0,0
"PP1B_MOUSE",0,0,0,1,0,0
"DAPK3_MOUSE",0,0,0,1,0,0
"SAC1_MOUSE",0,0,0,1,0,0
"TPD54_MOUSE",0,0,0,1,0,0
"ADRM1_MOUSE",0,0,0,1,0,0
"SPTB1_MOUSE",0,0,0,1,0,0
"DOCK5_MOUSE",0,0,0,1,0,0
"EI2BD_MOUSE",0,0,0,1,0,0
"GRN_MOUSE",0,0,0,1,0,0
"PGRC2_MOUSE",0,0,0,1,0,0
"XPO7_MOUSE",0,0,0,1,0,0
"ARRB1_MOUSE",0,0,0,1,0,0
"CE051_MOUSE",0,0,0,1,0,0
"AP3B1_MOUSE",0,0,0,1,0,0
"MYO1E_MOUSE",0,0,0,1,0,0
"ROP1_MOUSE",0,0,0,1,0,0
"COG1_MOUSE",0,0,0,1,0,0
"BANK1_MOUSE",0,0,0,1,0,0
"CFA54_MOUSE",0,0,0,1,0,0
"PRAX_MOUSE",0,0,0,1,0,0
"MYO5A_MOUSE",0,0,0,1,0,0
"LRIT1_MOUSE",0,0,0,1,0,0
"G3PT_MOUSE",0,0,0,0,3,0
"ICAL_MOUSE",0,0,0,0,2,0
"DSG1A_MOUSE",0,0,0,0,2,0
"K1C12_MOUSE",0,0,0,0,2,0
"DHB7_MOUSE",0,0,0,0,1,0
"PKP1_MOUSE",0,0,0,0,1,0
"RS27_MOUSE",0,0,0,0,1,0
"IPO4_MOUSE",0,0,0,0,1,0
"FLII_MOUSE",0,0,0,0,1,0
"SE1L1_MOUSE",0,0,0,0,1,0
"PEX5_MOUSE",0,0,0,0,1,0
"RAC2_MOUSE",0,0,0,0,1,0
"ANM1_MOUSE",0,0,0,0,1,0
"PUR6_MOUSE",0,0,0,0,1,0
"GBRG2_MOUSE",0,0,0,0,1,0
"DHB12_MOUSE",0,0,0,0,1,0
"MYO10_MOUSE",0,0,0,0,1,0
"OSCP1_MOUSE",0,0,0,0,1,0
"ZN207_MOUSE",0,0,0,0,1,0
"41_MOUSE",0,0,0,0,1,0
"ANKS6_MOUSE",0,0,0,0,1,0
"UBP28_MOUSE",0,0,0,0,1,0
"DIAP2_MOUSE",0,0,0,0,1,0
"MYOM1_MOUSE",0,0,0,0,1,0
"EMAL5_MOUSE",0,0,0,0,1,0
"ITPR2_MOUSE",0,0,0,0,1,0
"DMXL1_MOUSE",0,0,0,0,1,0
"LAMB1_MOUSE",0,0,0,0,0,18
"ACTS_MOUSE",0,0,0,0,0,13
"TBB6_MOUSE",0,0,0,0,0,11
"ARF3_MOUSE",0,0,0,0,0,7
"SC23A_MOUSE",0,0,0,0,0,4
"DCTN1_MOUSE",0,0,0,0,0,4
"AP2B1_MOUSE",0,0,0,0,0,4
"KT33B_MOUSE",0,0,0,0,0,4
"K1H1_MOUSE",0,0,0,0,0,4
"H2A2B_MOUSE",0,0,0,0,0,3
"PRPS2_MOUSE",0,0,0,0,0,3
"BCAT1_MOUSE",0,0,0,0,0,3
"RAB10_MOUSE",0,0,0,0,0,3
"KRT34_MOUSE",0,0,0,0,0,3
"DEOC_MOUSE",0,0,0,0,0,3
"AN32B_MOUSE",0,0,0,0,0,3
"DX39A_MOUSE",0,0,0,0,0,3
"TPM1_MOUSE",0,0,0,0,0,3
"ATPO_MOUSE",0,0,0,0,0,2
"HNRPF_MOUSE",0,0,0,0,0,2
"COX2_MOUSE",0,0,0,0,0,2
"IPO7_MOUSE",0,0,0,0,0,2
"TALDO_MOUSE",0,0,0,0,0,2
"PPGB_MOUSE",0,0,0,0,0,2
"SEP15_MOUSE",0,0,0,0,0,2
"C1TC_MOUSE",0,0,0,0,0,2
"SEPT8_MOUSE",0,0,0,0,0,2
"CUL1_MOUSE",0,0,0,0,0,2
"PREP_MOUSE",0,0,0,0,0,2
"TMED3_MOUSE",0,0,0,0,0,2
"CLIC6_MOUSE",0,0,0,0,0,2
"PHB_MOUSE",0,0,0,0,0,2
"CSN1_MOUSE",0,0,0,0,0,2
"CAH3_MOUSE",0,0,0,0,0,2
"THUM2_MOUSE",0,0,0,0,0,2
"HECAM_MOUSE",0,0,0,0,0,2
"NRDC_MOUSE",0,0,0,0,0,2
"CLC14_MOUSE",0,0,0,0,0,2
"MON2_MOUSE",0,0,0,0,0,2
"DOCK1_MOUSE",0,0,0,0,0,2
"SAM9L_MOUSE",0,0,0,0,0,2
"ITPR3_MOUSE",0,0,0,0,0,2
"PDE8A_MOUSE",0,0,0,0,0,2
"H11_MOUSE",0,0,0,0,0,1
"UB2D2_MOUSE",0,0,0,0,0,1
"T120A_MOUSE",0,0,0,0,0,1
"UBP15_MOUSE",0,0,0,0,0,1
"CD82_MOUSE",0,0,0,0,0,1
"HNRH1_MOUSE",0,0,0,0,0,1
"SPCS3_MOUSE",0,0,0,0,0,1
"UBP47_MOUSE",0,0,0,0,0,1
"ROA2_MOUSE",0,0,0,0,0,1
"ENTP1_MOUSE",0,0,0,0,0,1
"UBC12_MOUSE",0,0,0,0,0,1
"AACS_MOUSE",0,0,0,0,0,1
"SYYC_MOUSE",0,0,0,0,0,1
"ERLN2_MOUSE",0,0,0,0,0,1
"HNRPU_MOUSE",0,0,0,0,0,1
"COX41_MOUSE",0,0,0,0,0,1
"MFAP5_MOUSE",0,0,0,0,0,1
"AMPD2_MOUSE",0,0,0,0,0,1
"TSSK2_MOUSE",0,0,0,0,0,1
"TSSK1_MOUSE",0,0,0,0,0,1
"SMCA4_MOUSE",0,0,0,0,0,1
"DAAM2_MOUSE",0,0,0,0,0,1
"SPTC3_MOUSE",0,0,0,0,0,1
"RHG12_MOUSE",0,0,0,0,0,1
"CIC_MOUSE",0,0,0,0,0,1
"CYFP1_MOUSE",0,0,0,0,0,1
"MYO1D_MOUSE",0,0,0,0,0,1
"RHG31_MOUSE",0,0,0,0,0,1
"CCHCR_MOUSE",0,0,0,0,0,1
"TGRM1_MOUSE",0,0,0,0,0,1
"ADCY8_MOUSE",0,0,0,0,0,1
"WDR35_MOUSE",0,0,0,0,0,1
"TDRD5_MOUSE",0,0,0,0,0,1
"SCUB1_MOUSE",0,0,0,0,0,1
"CA2D3_MOUSE",0,0,0,0,0,1
"TBC9B_MOUSE",0,0,0,0,0,1
"DAPK1_MOUSE",0,0,0,0,0,1
"FZD8_MOUSE",0,0,0,0,0,1
"FXR1_MOUSE",0,0,0,0,0,1
"KMT2C_MOUSE",0,0,0,0,0,1
"TRPM7_MOUSE",0,0,0,0,0,1
"UTP20_MOUSE",0,0,0,0,0,1
"BTBD7_MOUSE",0,0,0,0,0,1
"RPAP3_MOUSE",0,0,0,0,0,1
"IMDH1_MOUSE",0,0,0,0,0,1
"IL16_MOUSE",0,0,0,0,0,1
"GOGA3_MOUSE",0,0,0,0,0,1
"UBR2_MOUSE",0,0,0,0,0,1
"ATG9B_MOUSE",0,0,0,0,0,1
"MK08_MOUSE",0,0,0,0,0,1
"MYLK4_MOUSE",0,0,0,0,0,1
"MK10_MOUSE",0,0,0,0,0,1
"MYLK2_MOUSE",0,0,0,0,0,1
"MYLK_MOUSE",0,0,0,0,0,1
"RBP2_MOUSE",0,0,0,0,0,1
"FANCI_MOUSE",0,0,0,0,0,1
"CAD11_MOUSE",0,0,0,0,0,1
"PIGR_MOUSE",0,0,0,0,0,1
"GAK_MOUSE",0,0,0,0,0,1
"KAD5_MOUSE",0,0,0,0,0,1
"RPAP1_MOUSE",0,0,0,0,0,1
"TAF6_MOUSE",0,0,0,0,0,1
"AT132_MOUSE",0,0,0,0,0,1
"NFKB2_MOUSE",0,0,0,0,0,1
"MUG1_MOUSE",0,0,0,0,0,1
"TOM20_MOUSE",1,1,0,0,0,0
"MTLN_MOUSE",1,1,0,0,0,0
"HSP72_MOUSE",1,1,0,0,0,0
"QCR9_MOUSE",1,1,0,0,0,0
"GLUC_MOUSE",1,1,0,0,0,0
"GALC_MOUSE",3,0,0,0,0,0
"FLNC_MOUSE",1,0,0,0,0,0
"ATPD_MOUSE",1,0,0,0,0,0
"CISD1_MOUSE",1,0,0,0,0,0
"SIAE_MOUSE",1,0,0,0,0,0
"MIC10_MOUSE",1,0,0,0,0,0
"COX6C_MOUSE",1,0,0,0,0,0
"PHB2_MOUSE",1,0,0,0,0,0
"RL40_MOUSE",1,0,0,0,0,0
"UBB_MOUSE",1,0,0,0,0,0
"UBC_MOUSE",1,0,0,0,0,0
"RANT_MOUSE",1,0,0,0,0,0
"ACADS_MOUSE",1,0,0,0,0,0
"S10A1_MOUSE",1,0,0,0,0,0
"CSN8_MOUSE",1,0,0,0,0,0
"PKHF2_MOUSE",1,0,0,0,0,0
"MIC60_MOUSE",1,0,0,0,0,0
"CX7A2_MOUSE",1,0,0,0,0,0
"GKN2_MOUSE",1,0,0,0,0,0
"VATF_MOUSE",1,0,0,0,0,0
"ENOG_MOUSE",1,0,0,0,0,0
"ENOB_MOUSE",1,0,0,0,0,0
"PT117_MOUSE",1,0,0,0,0,0
"BSCL2_MOUSE",1,0,0,0,0,0
"WDR43_MOUSE",1,0,0,0,0,0
"EXOC4_MOUSE",1,0,0,0,0,0
"ITSN1_MOUSE",1,0,0,0,0,0
"DLRB1_MOUSE",0,3,0,0,0,0
"H2AV_MOUSE",0,2,0,0,0,0
"H2AZ_MOUSE",0,2,0,0,0,0
"CHCH2_MOUSE",0,2,0,0,0,0
"RL21_MOUSE",0,1,0,0,0,0
"RL22_MOUSE",0,1,0,0,0,0
"AEGP_MOUSE",0,1,0,0,0,0
"ATP5I_MOUSE",0,1,0,0,0,0
"H2B3B_MOUSE",0,1,0,0,0,0
"H2B2E_MOUSE",0,1,0,0,0,0
"H2B3A_MOUSE",0,1,0,0,0,0
"H2B1A_MOUSE",0,1,0,0,0,0
"PI42C_MOUSE",0,1,0,0,0,0
"UIMC1_MOUSE",0,1,0,0,0,0
"SCN9A_MOUSE",0,1,0,0,0,0
"CE022_MOUSE",0,1,0,0,0,0
"ENSA_MOUSE",0,1,0,0,0,0
"SKOR2_MOUSE",0,1,0,0,0,0
"EGF_MOUSE",0,1,0,0,0,0
"H2A2C_MOUSE",0,0,5,0,0,0
"H2A2A_MOUSE",0,0,5,0,0,0
"APOA2_MOUSE",0,0,2,0,0,0
"LALBA_MOUSE",0,0,2,0,0,0
"APOC3_MOUSE",0,0,1,0,0,0
"FIBB_MOUSE",0,0,1,0,0,0
"FIBA_MOUSE",0,0,1,0,0,0
"PRVA_MOUSE",0,0,1,0,0,0
"DPH2_MOUSE",0,0,1,0,0,0
"GLT18_MOUSE",0,0,1,0,0,0
"BIG3_MOUSE",0,0,1,0,0,0
"C170B_MOUSE",0,0,1,0,0,0
"PLRG1_MOUSE",0,0,1,0,0,0
