"Accession.Number","S3","S4","S5","P3","P4","P5"
"PSB4_MOUSE",0,0,0,4,0,4
"GALE_MOUSE",0,0,0,3,0,10
"PSA7_MOUSE",0,0,0,3,0,8
"PSA5_MOUSE",0,0,0,3,0,8
"RS3A_MOUSE",0,0,0,3,0,8
"PSA1_MOUSE",0,0,0,3,0,6
"PABP1_MOUSE",0,0,0,3,0,6
"SIAS_MOUSE",0,0,0,3,0,6
"PSA4_MOUSE",0,0,0,3,0,5
"PR3B1_MOUSE",0,0,0,3,0,5
"RS7_MOUSE",0,0,0,3,0,5
"AIMP1_MOUSE",0,0,0,3,0,5
"GSTP1_MOUSE",0,0,0,3,0,4
"RAP1B_MOUSE",0,0,0,3,0,4
"OSTF1_MOUSE",0,0,0,3,0,4
"RD23B_MOUSE",0,0,0,3,0,4
"UB2L3_MOUSE",0,0,0,3,0,3
"SC23B_MOUSE",0,0,0,3,0,3
"VATA_MOUSE",0,0,0,2,0,5
"OLA1_MOUSE",0,0,0,2,0,5
"PSA2_MOUSE",0,0,0,2,0,4
"AHSA1_MOUSE",0,0,0,2,0,4
"RS9_MOUSE",0,0,0,2,0,4
"PSB3_MOUSE",0,0,0,2,0,3
"CREG1_MOUSE",0,0,0,2,0,3
"SNAA_MOUSE",0,0,0,1,0,10
"FKBP4_MOUSE",0,0,0,1,0,5
"RL8_MOUSE",0,0,0,1,0,4
"FA49B_MOUSE",0,0,0,1,0,1
"PPIC_MOUSE",0,0,0,1,0,1
"DOPD_MOUSE",0,0,0,1,0,1
"SGT1_MOUSE",0,0,0,1,0,1
"VPS35_MOUSE",0,0,0,0,1,2
"HBB2_MOUSE",3,2,0,0,0,14
"ATOX1_MOUSE",1,3,0,2,0,0
"BASP1_MOUSE",0,5,1,6,0,0
"FKB1A_MOUSE",0,1,1,1,0,0
"PLOD3_MOUSE",0,0,0,1,0,0
"SYVC_MOUSE",0,0,0,1,0,0
"CHM4B_MOUSE",0,0,0,1,0,0
"EIF3H_MOUSE",0,0,0,0,0,8
"COPE_MOUSE",0,0,0,0,0,5
"IMDH2_MOUSE",0,0,0,0,0,5
"VIME_MOUSE",0,0,0,0,0,4
"FABP4_MOUSE",0,0,0,0,0,4
"COPD_MOUSE",0,0,0,0,0,3
"SYTC_MOUSE",0,0,0,0,0,3
"ANXA1_MOUSE",0,0,0,0,0,3
"SPTB2_MOUSE",0,0,0,0,0,2
"SAHH_MOUSE",0,0,0,0,0,2
"HXK1_MOUSE",0,0,0,0,0,2
"GLOD4_MOUSE",0,0,0,0,0,2
"ITPA_MOUSE",0,0,0,0,0,2
"COR1B_MOUSE",0,0,0,0,0,2
"GSTM1_MOUSE",0,0,0,0,0,1
"HMOX1_MOUSE",0,0,0,0,0,1
"S10A9_MOUSE",0,0,0,0,0,1
"TXD17_MOUSE",0,0,0,0,0,1
"S10AA_MOUSE",2,1,0,0,0,0
"CATK_MOUSE",1,0,0,0,0,0
"HBB1_MOUSE",3,2,8,23,9,24
"S10A6_MOUSE",4,1,0,6,4,3
"CALR_MOUSE",0,5,1,43,29,28
"FLNB_MOUSE",2,0,0,15,9,48
"TBB5_MOUSE",0,0,2,23,20,25
