ProteinID,Accession.New,,,,,
P17182,ENOA_MOUSE,,,,,
Q9JKF1,IQGA1_MOUSE,,,,,
E9PWQ3,E9PWQ3_MOUSE,,,,,
P06797,CATL1_MOUSE,,,,,
P48678,LMNA_MOUSE,,,,,
P09411,PGK1_MOUSE,,,,,
Q80YQ1,Q80YQ1_MOUSE,,,,,
Q8VHX6,FLNC_MOUSE,,,,,
Q80YX1,TENA_MOUSE,,,,,
O54831,PR7A2_MOUSE,,,,,
Q61598,GDIB_MOUSE,,,,,
Q62261,SPTB2_MOUSE,,,,,
P24369,PPIB_MOUSE,,,,,
A0A0R4J0V8,A0A0R4J0V8_MOUSE,,,,,
A0A0R4J0Z1,A0A0R4J0Z1_MOUSE,,,,,
Q61001,LAMA5_MOUSE,,,,,
Q7TPR4,ACTN1_MOUSE,,,,,
P01887,B2MG_MOUSE,,,,,
P10126,EF1A1_MOUSE,,,,,
Q60710,SAMH1_MOUSE,,,,,
P07724,ALBU_MOUSE,,,,,
P06745,G6PI_MOUSE,,,,,
O88342,WDR1_MOUSE,,,,,
P03958,ADA_MOUSE,,,,,
P63101,1433Z_MOUSE,,,,,
P11087,CO1A1_MOUSE,,,,,
Q9CQ58,PR8A9_MOUSE,,,,,
Q543K9,Q543K9_MOUSE,,,,,
P19324,SERPH_MOUSE,,,,,
P21107,TPM3_MOUSE,,,,,
Q61292,LAMB2_MOUSE,,,,,
O88569,ROA2_MOUSE,,,,,
Q8CBB6,Q8CBB6_MOUSE,,,,,
Q9DBJ1,PGAM1_MOUSE,,,,,
P19001,K1C19_MOUSE,,,,,
P04769,PR7D1_MOUSE,,,,,
E9PZF0,E9PZF0_MOUSE,,,,,
O08553,DPYL2_MOUSE,,,,,
Q61233,PLSL_MOUSE,,,,,
Q9D0Z8,Q9D0Z8_MOUSE,,,,,
Q6GT24,Q6GT24_MOUSE,,,,,
A0A1B0GR11,A0A1B0GR11_MOUSE,,,,,
P99024,TBB5_MOUSE,,,,,
P08249,MDHM_MOUSE,,,,,
P40142,TKT_MOUSE,,,,,
P18242,CATD_MOUSE,,,,,
