"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"CATD_MOUSE",0,0,0,1,0,3,"P18242","CATD_MOUSE","Ctsd"
"CATM_MOUSE",0,0,0,1,1,3,"Q9JL96","CATM_MOUSE","Ctsm"
"CAZA1_MOUSE",0,0,0,2,2,9,"P47753","CAZA1_MOUSE","Capza1"
"CAZA2_MOUSE",0,0,0,0,1,7,"P47754","CAZA2_MOUSE","Capza2"
"CCDC6_MOUSE",0,0,0,0,1,1,"D3YZP9","CCDC6_MOUSE","Ccdc6"
"CDC37_MOUSE",0,0,0,2,3,4,"Q61081","CDC37_MOUSE","Cdc37"
"CDC42_MOUSE",0,0,0,6,3,4,"P60766","CDC42_MOUSE","Cdc42"
"CDV3_MOUSE",0,1,0,0,0,2,"Q4VAA2","CDV3_MOUSE","Cdv3"
"CEAM5_MOUSE",0,0,0,18,12,23,"Q3UKK2","CEAM5_MOUSE","Ceacam5"
"CH10_MOUSE",0,4,0,2,0,2,"Q64433","CH10_MOUSE","Hspe1"
"CH60_MOUSE",0,0,0,11,2,13,"P63038","CH60_MOUSE","Hspd1"
"CHSP1_MOUSE",0,1,0,0,0,2,"Q9CR86","CHSP1_MOUSE","Carhsp1"
"CISY_MOUSE",0,0,0,1,0,4,"Q9CZU6","CISY_MOUSE","Cs"
"CKAP4_MOUSE",0,0,0,9,10,13,"Q8BMK4","CKAP4_MOUSE","Ckap4"
"CLH1_MOUSE",0,0,0,9,5,30,"Q68FD5","CLH1_MOUSE","Cltc"
"CLIC4_MOUSE",0,0,0,7,1,11,"Q9QYB1","CLIC4_MOUSE","Clic4"
"CMTR2_MOUSE",0,0,0,0,1,1,"Q8BWQ4","CMTR2_MOUSE","Cmtr2"
"CNDP2_MOUSE",0,0,0,7,1,13,"Q9D1A2","CNDP2_MOUSE","Cndp2"
"CNPY2_MOUSE",0,0,0,3,0,2,"Q9QXT0","CNPY2_MOUSE","Cnpy2"
"COF1_MOUSE",0,4,0,8,2,8,"P18760","COF1_MOUSE","Cfl1"
"COPA_MOUSE",0,0,0,9,5,24,"Q8CIE6","COPA_MOUSE","Copa"
"COPB_MOUSE",0,0,0,3,3,12,"Q9JIF7","COPB_MOUSE","Copb1"
"COPB2_MOUSE",0,0,0,5,3,14,"O55029","COPB2_MOUSE","Copb2"
"COPG1_MOUSE",0,0,0,9,8,16,"Q9QZE5","COPG1_MOUSE","Copg1"
"COPZ1_MOUSE",0,0,0,2,1,2,"P61924","COPZ1_MOUSE","Copz1"
"COX5B_MOUSE",1,2,0,1,0,0,"P19536","COX5B_MOUSE","Cox5b"
"CPNS1_MOUSE",0,0,0,5,1,2,"O88456","CPNS1_MOUSE","Capns1"
